a,b,c
0,0,0
1,11,0
2,26,1
3,71,3
4,70,1
5,81,0
6,88,0
7,97,6
8,103,1
9,88,0
10,70,3
11,88,2
12,94,0
13,45,0
14,75,4
15,90,1
16,65,1
17,64,0
18,108,7
19,64,0
20,64,0
21,106,14
22,53,0
23,68,0
24,50,3
25,45,3
26,92,32
27,32,20
28,23,11
29,66,120
30,70,227
31,37,191
32,45,257
33,107,751
34,44,458
35,29,410
36,64,1080
37,45,754
38,13,314
39,14,538
40,48,844
41,22,642
42,41,774
43,9,338
44,45,755
45,242,3498
46,14,348
47,33,849
48,12,618
49,21,820
50,13,474
51,1,165
52,71,1337
53,43,1201
54,3,139
55,1,78
56,16,540
57,1,84
58,0,15
59,8,253
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
