a,b,c
0,4,0
1,49,0
2,123,0
3,122,0
4,94,0
5,113,0
6,88,0
7,96,0
8,121,2
9,78,0
10,68,0
11,140,6
12,123,0
13,57,0
14,84,6
15,90,0
16,62,0
17,51,0
18,199,22
19,78,0
20,55,0
21,83,1
22,52,0
23,65,0
24,52,0
25,50,12
26,169,130
27,22,4
28,16,12
29,83,230
30,138,616
31,16,340
32,86,611
33,94,1550
34,38,626
35,15,539
36,50,1675
37,103,1783
38,15,311
39,23,668
40,32,1198
41,11,825
42,36,1492
43,8,325
44,74,1674
45,361,7776
46,4,316
47,30,1446
48,9,725
49,12,1043
50,7,498
51,1,148
52,54,2768
53,35,2272
54,2,85
55,0,57
56,16,819
57,1,53
58,0,5
59,2,361
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
