a,b,c
0,0,0
1,23,0
2,51,0
3,44,0
4,49,0
5,42,0
6,43,0
7,52,0
8,61,0
9,48,0
10,58,0
11,59,1
12,50,0
13,34,0
14,55,1
15,54,0
16,34,0
17,32,0
18,80,10
19,45,0
20,44,1
21,56,1
22,43,1
23,56,4
24,45,7
25,22,7
26,79,41
27,38,20
28,25,32
29,47,100
30,62,130
31,38,90
32,27,133
33,58,357
34,29,215
35,30,238
36,59,517
37,30,348
38,28,208
39,28,264
40,33,417
41,27,391
42,32,351
43,17,195
44,25,341
45,103,1497
46,14,220
47,25,413
48,11,370
49,17,446
50,10,230
51,6,105
52,28,569
53,22,523
54,4,91
55,1,51
56,7,300
57,0,41
58,1,8
59,6,118
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
