a,b,c
0,0,0
1,0,0
2,1,0
3,8,0
4,6,0
5,4,4
6,11,1
7,10,2
8,13,5
9,7,3
10,13,2
11,17,4
12,10,5
13,18,0
14,17,3
15,21,5
16,30,2
17,24,6
18,70,5
19,44,7
20,50,6
21,54,12
22,61,7
23,62,11
24,73,11
25,40,16
26,165,44
27,61,19
28,49,17
29,124,69
30,135,126
31,59,63
32,89,118
33,148,256
34,94,113
35,80,121
36,175,372
37,152,321
38,42,70
39,80,164
40,98,212
41,73,175
42,112,303
43,53,91
44,80,265
45,384,1314
46,54,83
47,101,295
48,61,149
49,74,194
50,32,98
51,17,20
52,145,525
53,112,401
54,12,33
55,8,19
56,50,164
57,6,14
58,0,4
59,21,65
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
