a,b,c
0,0,0
1,1,0
2,51,0
3,76,0
4,80,0
5,85,0
6,114,0
7,102,0
8,94,0
9,73,0
10,68,1
11,44,1
12,53,0
13,36,0
14,38,1
15,46,0
16,25,0
17,35,1
18,21,0
19,23,0
20,14,0
21,26,1
22,20,1
23,14,0
24,19,7
25,19,5
26,16,17
27,11,22
28,10,41
29,20,66
30,9,73
31,10,70
32,16,134
33,5,167
34,8,189
35,7,197
36,10,310
37,7,275
38,4,256
39,5,336
40,4,352
41,7,311
42,5,237
43,10,321
44,3,256
45,17,656
46,6,327
47,8,248
48,8,324
49,7,369
50,4,280
51,1,192
52,5,296
53,4,305
54,1,134
55,2,139
56,3,181
57,1,93
58,0,34
59,3,74
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
