a,b,c
0,1,0
1,9,0
2,45,0
3,78,0
4,96,0
5,100,0
6,98,0
7,82,1
8,66,0
9,50,1
10,43,0
11,29,0
12,30,0
13,22,0
14,27,0
15,23,0
16,17,0
17,18,0
18,14,0
19,9,0
20,14,0
21,24,1
22,11,0
23,15,1
24,20,4
25,7,5
26,21,17
27,15,16
28,14,30
29,15,49
30,10,80
31,14,82
32,7,137
33,10,158
34,8,184
35,10,181
36,13,310
37,5,319
38,5,290
39,6,295
40,7,377
41,6,318
42,6,264
43,12,306
44,5,255
45,8,668
46,3,328
47,4,291
48,7,334
49,3,426
50,4,278
51,2,204
52,2,294
53,7,301
54,1,140
55,0,95
56,0,189
57,0,98
58,0,28
59,1,72
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
