a,b,c
0,0,0
1,1,2
2,1,2
3,3,2
4,1,0
5,9,3
6,4,1
7,3,1
8,6,2
9,7,0
10,8,1
11,3,0
12,4,1
13,6,0
14,8,2
15,7,0
16,14,2
17,11,0
18,15,3
19,16,0
20,18,1
21,19,5
22,24,1
23,19,2
24,20,5
25,23,3
26,19,7
27,18,7
28,16,6
29,35,21
30,20,15
31,34,25
32,39,39
33,16,48
34,27,48
35,41,80
36,48,84
37,46,90
38,45,78
39,37,81
40,46,104
41,36,123
42,37,97
43,31,86
44,36,74
45,54,159
46,36,101
47,45,102
48,38,92
49,35,89
50,28,105
51,23,76
52,26,75
53,30,89
54,13,44
55,10,47
56,10,35
57,9,25
58,5,13
59,0,8
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
