a,b,c
0,0,0
1,24,0
2,52,0
3,50,0
4,71,0
5,74,0
6,78,0
7,89,0
8,113,0
9,79,0
10,95,1
11,81,0
12,77,0
13,55,0
14,67,1
15,78,0
16,58,0
17,52,0
18,69,4
19,27,0
20,31,0
21,71,0
22,31,0
23,37,4
24,42,5
25,29,4
26,59,35
27,21,23
28,22,25
29,46,117
30,30,133
31,20,121
32,28,187
33,46,428
34,28,362
35,20,303
36,29,680
37,33,474
38,16,326
39,14,343
40,18,520
41,15,487
42,20,402
43,11,322
44,19,398
45,83,1863
46,11,341
47,18,473
48,17,526
49,14,595
50,7,334
51,1,134
52,15,760
53,13,660
54,0,116
55,3,72
56,7,389
57,0,68
58,0,9
59,7,168
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
